rank,file,folder,affinity_kcal_mol,Kd_M,full_path
168,CD39_nanobody_115.pdb,CD39_nanobody_150_2,-6.2,2.6e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_115.pdb
169,CD39_nanobody_117.pdb,CD39_nanobody_150,-6.2,2.8e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_117.pdb
170,CD39_nanobody_117.pdb,CD39_nanobody_150_2,-6.2,2.7e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_117.pdb
171,CD39_nanobody_122.pdb,CD39_nanobody_150_2,-6.2,2.8e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_122.pdb
172,CD39_nanobody_124.pdb,CD39_nanobody_150_2,-6.2,2.9e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_124.pdb
173,CD39_nanobody_138.pdb,CD39_nanobody_150_2,-6.2,2.8e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_138.pdb
174,CD39_nanobody_16.pdb,CD39_nanobody_150_2,-6.2,2.8e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_16.pdb
175,CD39_nanobody_28.pdb,CD39_nanobody_150_2,-6.2,2.9e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_28.pdb
176,CD39_nanobody_61.pdb,CD39_nanobody_150,-6.2,2.8e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_61.pdb
177,CD39_nanobody_68.pdb,CD39_nanobody_150,-6.2,2.9e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_68.pdb
178,CD39_nanobody_69.pdb,CD39_nanobody_150,-6.2,2.9e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_69.pdb
179,CD39_nanobody_7.pdb,CD39_nanobody_150_2,-6.2,3.0e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_7.pdb
180,CD39_nanobody_70.pdb,CD39_nanobody_150_2,-6.2,2.9e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_70.pdb
181,CD39_nanobody_78.pdb,CD39_nanobody_150_2,-6.2,2.9e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_78.pdb
182,CD39_nanobody_86.pdb,CD39_nanobody_150_2,-6.2,2.9e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_86.pdb
183,CD39_nanobody_87.pdb,CD39_nanobody_150,-6.2,3.1e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_87.pdb
184,CD39_nanobody_97.pdb,CD39_nanobody_150,-6.2,2.9e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_97.pdb
185,CD39_nanobody_99.pdb,CD39_nanobody_150,-6.2,3.1e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_99.pdb
186,CD39_nanobody_1.pdb,CD39_nanobody_150,-6.1,3.4e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_1.pdb
187,CD39_nanobody_134.pdb,CD39_nanobody_150_2,-6.1,3.3e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_134.pdb
188,CD39_nanobody_135.pdb,CD39_nanobody_150_2,-6.1,3.3e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_135.pdb
189,CD39_nanobody_137.pdb,CD39_nanobody_150_2,-6.1,3.1e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_137.pdb
190,CD39_nanobody_139.pdb,CD39_nanobody_150,-6.1,3.1e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_139.pdb
191,CD39_nanobody_147.pdb,CD39_nanobody_150_2,-6.1,3.5e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_147.pdb
192,CD39_nanobody_20.pdb,CD39_nanobody_150,-6.1,3.3e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_20.pdb
193,CD39_nanobody_30.pdb,CD39_nanobody_150_2,-6.1,3.5e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_30.pdb
194,CD39_nanobody_47.pdb,CD39_nanobody_150,-6.1,3.1e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_47.pdb
195,CD39_nanobody_82.pdb,CD39_nanobody_150,-6.1,3.3e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_82.pdb
196,CD39_nanobody_84.pdb,CD39_nanobody_150,-6.1,3.3e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_84.pdb
197,CD39_nanobody_89.pdb,CD39_nanobody_150,-6.1,3.4e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_89.pdb
198,CD39_nanobody_10.pdb,CD39_nanobody_150_2,-6.0,4.2e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_10.pdb
199,CD39_nanobody_109.pdb,CD39_nanobody_150_2,-6.0,3.7e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_109.pdb
200,CD39_nanobody_119.pdb,CD39_nanobody_150,-6.0,3.9e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_119.pdb
201,CD39_nanobody_28.pdb,CD39_nanobody_150,-6.0,4.2e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_28.pdb
202,CD39_nanobody_38.pdb,CD39_nanobody_150_2,-6.0,3.9e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_38.pdb
203,CD39_nanobody_53.pdb,CD39_nanobody_150_2,-6.0,3.7e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_53.pdb
204,CD39_nanobody_55.pdb,CD39_nanobody_150,-6.0,3.8e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_55.pdb
205,CD39_nanobody_74.pdb,CD39_nanobody_150,-6.0,4.0e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_74.pdb
206,CD39_nanobody_77.pdb,CD39_nanobody_150_2,-6.0,3.7e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_77.pdb
207,CD39_nanobody_80.pdb,CD39_nanobody_150,-6.0,4.3e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_80.pdb
208,CD39_nanobody_10.pdb,CD39_nanobody_150,-5.9,5.1e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_10.pdb
209,CD39_nanobody_108.pdb,CD39_nanobody_150,-5.9,4.7e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_108.pdb
210,CD39_nanobody_110.pdb,CD39_nanobody_150_2,-5.9,4.9e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_110.pdb
211,CD39_nanobody_125.pdb,CD39_nanobody_150,-5.9,4.9e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_125.pdb
212,CD39_nanobody_18.pdb,CD39_nanobody_150_2,-5.9,4.4e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_18.pdb
213,CD39_nanobody_6.pdb,CD39_nanobody_150,-5.9,4.8e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_6.pdb
214,CD39_nanobody_73.pdb,CD39_nanobody_150,-5.9,4.4e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_73.pdb
215,CD39_nanobody_73.pdb,CD39_nanobody_150_2,-5.9,4.6e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_73.pdb
216,CD39_nanobody_8.pdb,CD39_nanobody_150_2,-5.9,4.8e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_8.pdb
217,CD39_nanobody_85.pdb,CD39_nanobody_150,-5.9,4.9e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_85.pdb
218,CD39_nanobody_87.pdb,CD39_nanobody_150_2,-5.9,4.6e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_87.pdb
219,CD39_nanobody_94.pdb,CD39_nanobody_150,-5.9,5.0e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_94.pdb
220,CD39_nanobody_106.pdb,CD39_nanobody_150_2,-5.8,5.8e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_106.pdb
221,CD39_nanobody_11.pdb,CD39_nanobody_150,-5.8,6.0e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_11.pdb
222,CD39_nanobody_137.pdb,CD39_nanobody_150,-5.8,5.2e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_137.pdb
223,CD39_nanobody_144.pdb,CD39_nanobody_150_2,-5.8,6.0e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_144.pdb
